target,family,split_seed,dose,weight_source,mean_total_variation,mean_jensen_shannon_divergence,top1_semantic_answer_agreement,correctness_agreement,vector_overall_total_variation,vector_endpoint_delta,scalar_endpoint_delta,endpoint_direction_support,fit_selected_single_peer,single_peer_overall_total_variation,vector_convexity_improvement,scalar_convexity_improvement,convexity_direction_support,vector_sibling_removal_inflation,scalar_sibling_removal_inflation,sibling_direction_support,scalar_vector_weight_l1_change,scalar_vector_weight_l2_change
microsoft/phi-4,content_deletion,20260830,0.40000000000000002,scalar_fitted,0.45252510035854082,0.19461117440970391,0.55833333333333324,0.8035714285714286,0.43705973155331712,0.044112477378905335,0.0014116978178223272,True,TIGER-Lab/General-Reasoner-Qwen2.5-7B,0.46002706790946268,0.022967336356145562,0.016223234825609084,True,0.00025735407377386332,0.0076398380698645685,True,0.21474508293662542,0.10595439926468439
microsoft/phi-4,content_deletion,20260830,0,vector_fitted,0.41216611135311582,0.1794639135383683,0.6428571428571429,0.83214285714285718,0.44363802088500937,0.049536738402853497,0.0014116978178223272,True,TIGER-Lab/General-Reasoner-Qwen2.5-7B,0.46002706790946268,0.016389047024453318,0.016223234825609084,True,0.00025735407377386332,0.0076398380698645685,True,0.21474508293662542,0.10595439926468439
microsoft/phi-4,content_deletion,20260830,0.10000000000000001,vector_fitted,0.44095516236042365,0.19155148955481449,0.62857142857142856,0.81190476190476191,0.44363802088500937,0.049536738402853497,0.0014116978178223272,True,TIGER-Lab/General-Reasoner-Qwen2.5-7B,0.46002706790946268,0.016389047024453318,0.016223234825609084,True,0.00025735407377386332,0.0076398380698645685,True,0.21474508293662542,0.10595439926468439
microsoft/phi-4,content_deletion,20260830,0.20000000000000001,vector_fitted,0.44575747103067137,0.19114880308379445,0.62738095238095237,0.8119047619047618,0.44363802088500937,0.049536738402853497,0.0014116978178223272,True,TIGER-Lab/General-Reasoner-Qwen2.5-7B,0.46002706790946268,0.016389047024453318,0.016223234825609084,True,0.00025735407377386332,0.0076398380698645685,True,0.21474508293662542,0.10595439926468439
microsoft/phi-4,content_deletion,20260830,0.29999999999999999,vector_fitted,0.45760850992486674,0.1954191231492402,0.6071428571428571,0.80833333333333324,0.44363802088500937,0.049536738402853497,0.0014116978178223272,True,TIGER-Lab/General-Reasoner-Qwen2.5-7B,0.46002706790946268,0.016389047024453318,0.016223234825609084,True,0.00025735407377386332,0.0076398380698645685,True,0.21474508293662542,0.10595439926468439
microsoft/phi-4,content_deletion,20260830,0.40000000000000002,vector_fitted,0.46170284975596931,0.19804854170436714,0.58452380952380945,0.81666666666666676,0.44363802088500937,0.049536738402853497,0.0014116978178223272,True,TIGER-Lab/General-Reasoner-Qwen2.5-7B,0.46002706790946268,0.016389047024453318,0.016223234825609084,True,0.00025735407377386332,0.0076398380698645685,True,0.21474508293662542,0.10595439926468439
microsoft/phi-4,content_deletion,20260831,0,scalar_fitted,0.39297616644858452,0.17077081274727166,0.67142857142857137,0.84642857142857142,0.41951794555768468,0.051823624514147015,0.011548336560769812,True,TIGER-Lab/General-Reasoner-Qwen2.5-7B,0.45409563483975957,0.034577689282074886,0.022734946245061477,True,0.0078725508908226161,0.0076113971893588817,True,0.223017935228841,0.10285882289248217
microsoft/phi-4,content_deletion,20260831,0.10000000000000001,scalar_fitted,0.40850452774230561,0.17558195559866294,0.65952380952380951,0.83690476190476182,0.41951794555768468,0.051823624514147015,0.011548336560769812,True,TIGER-Lab/General-Reasoner-Qwen2.5-7B,0.45409563483975957,0.034577689282074886,0.022734946245061477,True,0.0078725508908226161,0.0076113971893588817,True,0.223017935228841,0.10285882289248217
microsoft/phi-4,content_deletion,20260831,0.20000000000000001,scalar_fitted,0.41958223459452076,0.17863192420437557,0.65357142857142858,0.82261904761904769,0.41951794555768468,0.051823624514147015,0.011548336560769812,True,TIGER-Lab/General-Reasoner-Qwen2.5-7B,0.45409563483975957,0.034577689282074886,0.022734946245061477,True,0.0078725508908226161,0.0076113971893588817,True,0.223017935228841,0.10285882289248217
microsoft/phi-4,content_deletion,20260831,0.29999999999999999,scalar_fitted,0.43172700804028086,0.1832617244359164,0.62857142857142856,0.81190476190476191,0.41951794555768468,0.051823624514147015,0.011548336560769812,True,TIGER-Lab/General-Reasoner-Qwen2.5-7B,0.45409563483975957,0.034577689282074886,0.022734946245061477,True,0.0078725508908226161,0.0076113971893588817,True,0.223017935228841,0.10285882289248217
