ContextType,ContextLabel,TargetModel,Dose,MeanPIER,StdPIER,NumEvalPoints,NumFitPoints,ContextRawSize
length,len_long_(>15),RoBERTa,0.6000000000000001,0.14783546138518797,0.19034463973856594,100,1000,561
length,len_long_(>15),RoBERTa,0.7000000000000001,0.14016723930223773,0.17424339170777275,100,1000,561
length,len_long_(>15),RoBERTa,0.8,0.15465890413723524,0.1354920719375861,100,1000,561
length,len_long_(>15),RoBERTa,0.9,0.17274087847819877,0.14696046943370109,100,1000,561
length,len_long_(>15),ALBERT,0.0,0.25182053645305996,0.14244515542716127,100,1000,561
length,len_long_(>15),ALBERT,0.1,0.2456551596194111,0.11615109434924271,100,1000,561
length,len_long_(>15),ALBERT,0.2,0.24603090173146117,0.1221018447985531,100,1000,561
length,len_long_(>15),ALBERT,0.30000000000000004,0.20366268508722019,0.07850528590912749,100,1000,561
length,len_long_(>15),ALBERT,0.4,0.19379244386884534,0.08726570037071947,100,1000,561
length,len_long_(>15),ALBERT,0.5,0.17699203728579394,0.08297599855811677,100,1000,561
length,len_long_(>15),ALBERT,0.6000000000000001,0.18050415271346767,0.09772103796415656,100,1000,561
length,len_long_(>15),ALBERT,0.7000000000000001,0.1545989265775374,0.10646998104461626,100,1000,561
length,len_long_(>15),ALBERT,0.8,0.12383379542511666,0.0956060879314128,100,1000,561
length,len_long_(>15),ALBERT,0.9,0.11348327102182566,0.11210224850199728,100,1000,561
length,len_long_(>15),XLNet,0.0,0.07308190221444474,0.08465218819409355,100,1000,561
length,len_long_(>15),XLNet,0.1,0.07844776609911698,0.09268435035086116,100,1000,561
length,len_long_(>15),XLNet,0.2,0.09435030393145018,0.1080567669051006,100,1000,561
length,len_long_(>15),XLNet,0.30000000000000004,0.14115749069688352,0.1328788375804626,100,1000,561
length,len_long_(>15),XLNet,0.4,0.1505052806763315,0.14257795821765812,100,1000,561
length,len_long_(>15),XLNet,0.5,0.1336877333557189,0.14262294247702023,100,1000,561
length,len_long_(>15),XLNet,0.6000000000000001,0.13586500691743306,0.13268744082533193,100,1000,561
length,len_long_(>15),XLNet,0.7000000000000001,0.1383771019739051,0.14150834098005943,100,1000,561
length,len_long_(>15),XLNet,0.8,0.144553768506111,0.11379759442812708,100,1000,561
length,len_long_(>15),XLNet,0.9,0.18143050994778526,0.11896713976111234,100,1000,561
length,len_medium_(8-15),BERT,0.0,0.07170230829804862,0.19857024376489665,100,1000,246
length,len_medium_(8-15),BERT,0.1,0.0817140477637413,0.2051066874155502,100,1000,246
length,len_medium_(8-15),BERT,0.2,0.08355017087100049,0.19411741241792205,100,1000,246
length,len_medium_(8-15),BERT,0.30000000000000004,0.11156967549166823,0.16582691450282822,100,1000,246
length,len_medium_(8-15),BERT,0.4,0.1329334897200119,0.1582102749980402,100,1000,246
length,len_medium_(8-15),BERT,0.5,0.13434826620100296,0.1508824522105797,100,1000,246
length,len_medium_(8-15),BERT,0.6000000000000001,0.15646642044482856,0.1847935334144543,100,1000,246
length,len_medium_(8-15),BERT,0.7000000000000001,0.17268486337967315,0.17503567632255793,100,1000,246
length,len_medium_(8-15),BERT,0.8,0.17487962673064467,0.15258195759501345,100,1000,246
length,len_medium_(8-15),BERT,0.9,0.18455341857767502,0.151828481742806,100,1000,246
length,len_medium_(8-15),DistilBERT,0.0,0.4087570662154542,0.23207320874325743,100,1000,246
length,len_medium_(8-15),DistilBERT,0.1,0.429527844564929,0.18225941030009193,100,1000,246
length,len_medium_(8-15),DistilBERT,0.2,0.42101747010584584,0.15465382091891144,100,1000,246
length,len_medium_(8-15),DistilBERT,0.30000000000000004,0.22385246004414244,0.20271049309829278,100,1000,246
length,len_medium_(8-15),DistilBERT,0.4,0.07773460569230166,0.06573942197388175,100,1000,246
length,len_medium_(8-15),DistilBERT,0.5,0.0992886294426767,0.0907935309513567,100,1000,246
length,len_medium_(8-15),DistilBERT,0.6000000000000001,0.10100638857845469,0.08042934577255209,100,1000,246
length,len_medium_(8-15),DistilBERT,0.7000000000000001,0.10675130064107582,0.0900295332835053,100,1000,246
length,len_medium_(8-15),DistilBERT,0.8,0.18066596952407477,0.11504874636502511,100,1000,246
length,len_medium_(8-15),DistilBERT,0.9,0.22451022123481124,0.13324080414660663,100,1000,246
length,len_medium_(8-15),RoBERTa,0.0,0.054690013428119154,0.16561247570145504,100,1000,246
length,len_medium_(8-15),RoBERTa,0.1,0.058257401703316974,0.15968119276105106,100,1000,246
length,len_medium_(8-15),RoBERTa,0.2,0.05880297586333445,0.15235343520229694,100,1000,246
length,len_medium_(8-15),RoBERTa,0.30000000000000004,0.08310008012063844,0.16790684695999866,100,1000,246
length,len_medium_(8-15),RoBERTa,0.4,0.08991002218433321,0.1759555303221526,100,1000,246
length,len_medium_(8-15),RoBERTa,0.5,0.12126187425408079,0.19787335516599178,100,1000,246
length,len_medium_(8-15),RoBERTa,0.6000000000000001,0.11714139017413076,0.1611648677166752,100,1000,246
length,len_medium_(8-15),RoBERTa,0.7000000000000001,0.13468779025825892,0.17594697251258726,100,1000,246
length,len_medium_(8-15),RoBERTa,0.8,0.13707607080094758,0.1515926247267109,100,1000,246
length,len_medium_(8-15),RoBERTa,0.9,0.2010314010900237,0.13466087529736828,100,1000,246
length,len_medium_(8-15),ALBERT,0.0,0.2357770366516135,0.13628894075504577,100,1000,246
length,len_medium_(8-15),ALBERT,0.1,0.2553694551292309,0.11347337801246965,100,1000,246
length,len_medium_(8-15),ALBERT,0.2,0.25183567768346554,0.09819469764182615,100,1000,246
length,len_medium_(8-15),ALBERT,0.30000000000000004,0.20970464703163302,0.11057791681076247,100,1000,246
length,len_medium_(8-15),ALBERT,0.4,0.19743162217940546,0.0861110887998539,100,1000,246
length,len_medium_(8-15),ALBERT,0.5,0.19337019541213007,0.09095530437663446,100,1000,246
length,len_medium_(8-15),ALBERT,0.6000000000000001,0.16243109065760092,0.09128613539789535,100,1000,246
length,len_medium_(8-15),ALBERT,0.7000000000000001,0.16432401015500436,0.09846581715089323,100,1000,246
length,len_medium_(8-15),ALBERT,0.8,0.13686939373887774,0.09900605790851813,100,1000,246
length,len_medium_(8-15),ALBERT,0.9,0.11003447092859808,0.08378723838330253,100,1000,246
length,len_medium_(8-15),XLNet,0.0,0.056384329721909404,0.1312934423602866,100,1000,246
length,len_medium_(8-15),XLNet,0.1,0.0602899752864267,0.13578566078087143,100,1000,246
length,len_medium_(8-15),XLNet,0.2,0.069004757230176,0.14390423373604774,100,1000,246
length,len_medium_(8-15),XLNet,0.30000000000000004,0.10394016173417071,0.15976260544181564,100,1000,246
length,len_medium_(8-15),XLNet,0.4,0.12073565287177282,0.1554682421479124,100,1000,246
length,len_medium_(8-15),XLNet,0.5,0.1389883871233865,0.1750476287471604,100,1000,246
length,len_medium_(8-15),XLNet,0.6000000000000001,0.11553974344817132,0.1482123404294672,100,1000,246
