Eval_Point,BERT_Uniqueness_R,BERT_Redundancy_R,DistilBERT_Uniqueness_R,DistilBERT_Redundancy_R,RoBERTa_Uniqueness_R,RoBERTa_Redundancy_R,ALBERT_Uniqueness_R,ALBERT_Redundancy_R,XLNet_Uniqueness_R,XLNet_Redundancy_R
Sample 86 $\theta=0.50$,0.08348355204465474,5.551115123125783e-16,0.16487682742846993,1.1102230246251565e-16,0.0127118830346713,3.3306690738754696e-16,0.14609037077268983,4.440892098500626e-16,0.0958635406850058,1.1102230246251565e-16
Sample 86 $\theta=0.60$,0.07669969730329895,5.551115123125783e-16,0.18293284690910294,5.551115123125783e-17,0.01174194756796032,3.3306690738754696e-16,0.13561796285607297,4.440892098500626e-16,0.10288322529298899,1.1102230246251565e-16
Sample 86 $\theta=0.70$,0.106425695089571,3.3306690738754696e-16,0.1283320119953711,2.220446049250313e-16,0.17163057998314546,4.440892098500626e-16,0.09921611018494503,3.885780586188048e-16,0.02162762687631592,4.440892098500626e-16
Sample 86 $\theta=0.80$,0.08335143883115337,6.661338147750939e-16,0.035986809250715346,2.7755575615628914e-16,0.018448623629969685,2.220446049250313e-16,0.21819193005359105,3.885780586188048e-16,0.08101865222993809,2.220446049250313e-16
Sample 86 $\theta=0.90$,0.2888252014797432,7.771561172376096e-16,0.3271768529226619,6.938893903907228e-17,0.2222393022257353,6.661338147750939e-16,0.05219798895551059,3.885780586188048e-16,0.3358982371725294,2.1649348980190553e-15
Sample 87 $\theta=0.00$,0.6843987125241683,8.881784197001252e-16,0.16713110874821693,2.7755575615628914e-16,0.26206381294239506,1.4450246554886803e-15,0.22481298232429953,6.938893903907228e-18,0.15339521524678776,9.54097911787244e-16
Sample 87 $\theta=0.10$,0.6843987125241683,8.881784197001252e-16,0.16713110874821693,2.7755575615628914e-16,0.26206381294239506,1.4450246554886803e-15,0.22481298232429953,6.938893903907228e-18,0.15339521524678776,9.54097911787244e-16
Sample 87 $\theta=0.20$,0.8469305467817667,1.1102230246251565e-15,0.30133613411896676,4.440892098500626e-16,0.3601806897165547,1.938553484404082e-15,0.34345100905020987,1.734723475976807e-18,0.150457472141712,9.992007221626409e-16
Sample 87 $\theta=0.30$,0.12476217062712305,2.498001805406602e-16,0.2914998281134103,3.3306690738754696e-16,0.19117286247961757,9.159339953157541e-16,0.23368148285607387,1.1275702593849246e-17,0.1355786354919689,5.828670879282072e-16
Sample 87 $\theta=0.40$,0.17089038924149635,2.7755575615628914e-16,0.0036872043240098185,2.220446049250313e-16,0.12463921832208358,6.505213034913027e-16,0.1300807722788706,2.220446049250313e-16,0.08382612822555185,5.204170427930421e-16
Sample 87 $\theta=0.50$,0.23856553996207802,3.3306690738754696e-16,0.13626903895999637,5.551115123125783e-17,0.11793854842935789,6.83481049534862e-16,0.2106557464323805,2.220446049250313e-16,0.1325747442269446,7.73686670285656e-16
Sample 87 $\theta=0.60$,0.1364025622313565,7.771561172376096e-16,0.14861855208101776,5.551115123125783e-16,0.09545750652347496,6.661338147750939e-16,0.3142165120852798,3.885780586188048e-16,0.14376455478343653,1.1102230246251565e-16
Sample 87 $\theta=0.70$,0.2592279557891913,3.885780586188048e-16,0.013046720851095761,3.3306690738754696e-16,0.24897943763096864,1.321859288694327e-15,0.07999925800850699,2.220446049250313e-16,0.010810530440079819,1.1102230246251565e-16
Sample 87 $\theta=0.80$,0.1629771117840334,6.661338147750939e-16,0.07163732638834142,2.7755575615628914e-16,0.16941100676216125,6.661338147750939e-16,0.06219104238671669,2.7755575615628914e-16,0.22450743696966613,1.5543122344752192e-15
Sample 87 $\theta=0.90$,0.1939537251268424,7.771561172376096e-16,0.12934861388632152,2.220446049250313e-16,0.09460277008447471,7.771561172376096e-16,0.13913900401836876,3.885780586188048e-16,0.10660285038499762,0.0
Sample 88 $\theta=0.00$,0.003917652580408959,5.0306980803327406e-17,0.7689257898824415,1.1102230246251565e-15,0.0025940703993460167,2.949029909160572e-16,0.43265228555554686,5.551115123125783e-17,0.05173144433631806,2.2985086056692694e-16
Sample 88 $\theta=0.10$,0.06738154318589956,1.1102230246251565e-16,0.44887371229546325,5.551115123125783e-16,0.367118982229722,1.7486012637846216e-15,0.3343558980486736,8.326672684688674e-17,0.4593165759680384,2.1094237467877974e-15
Sample 88 $\theta=0.20$,0.0015999338192885099,2.862293735361732e-17,0.4720566949513003,6.661338147750939e-16,0.001810822961942141,1.8236280541206185e-16,0.2562161494832579,2.0816681711721685e-17,0.03485917162322602,1.5742615544489524e-16
Sample 88 $\theta=0.30$,0.0792071674932816,4.5102810375396984e-17,0.04021812461111318,1.6653345369377348e-16,0.06378538456929378,3.0184188481996443e-16,0.1906423003846538,2.220446049250313e-16,0.015671663554605753,2.7755575615628914e-17
Sample 88 $\theta=0.40$,0.0299503898320701,5.551115123125783e-16,0.0799051287690547,4.440892098500626e-16,0.023010935737271976,2.220446049250313e-16,0.27419377238327625,3.885780586188048e-16,0.10166989159847817,1.1102230246251565e-16
Sample 88 $\theta=0.50$,0.03298388521675506,1.3877787807814457e-17,0.28490249565752046,1.6653345369377348e-16,0.024457728301386386,1.97758476261356e-16,0.34638339098359616,2.7755575615628914e-16,0.05531928412185136,3.174543961037557e-16
Sample 88 $\theta=0.60$,0.3263645522423143,7.771561172376096e-16,0.023618828885833942,1.6653345369377348e-16,0.5164321958141269,2.942091015256665e-15,0.17116860127009526,3.3306690738754696e-16,0.42601156089487346,1.5543122344752192e-15
Sample 88 $\theta=0.70$,0.27588799411529674,0.0,0.030072966042609006,2.220446049250313e-16,0.006745288401366345,2.220446049250313e-16,0.0037840316123207707,2.7755575615628914e-16,0.22629820658284427,8.881784197001252e-16
Sample 88 $\theta=0.80$,0.12690865153680286,3.885780586188048e-16,0.37678742661872633,3.469446951953614e-16,0.683232741700464,3.750472155061857e-15,0.1761217065657965,3.3306690738754696e-16,0.6723580963633516,2.9976021664879227e-15
Sample 88 $\theta=0.90$,0.10855167897477846,2.220446049250313e-16,0.14856212205090197,4.440892098500626e-16,0.19849784781212976,9.992007221626409e-16,0.15048164039537792,2.7755575615628914e-16,0.09343657430557073,7.771561172376096e-16
Sample 89 $\theta=0.00$,0.028618461777875637,5.551115123125783e-16,0.7845756884570193,4.718447854656915e-16,0.03599975831386082,6.661338147750939e-16,0.43577941710531476,7.771561172376096e-16,0.0730748816498924,3.3306690738754696e-16
Sample 89 $\theta=0.10$,0.6432506052616769,1.1102230246251565e-15,0.28570475236184867,5.551115123125783e-17,0.7005260558814644,3.899658373995862e-15,0.11880076235101916,3.3306690738754696e-16,0.307837191994,1.1102230246251565e-15
Sample 89 $\theta=0.20$,0.04432315177399804,5.551115123125783e-16,0.6646495216809255,3.0531133177191805e-16,0.016537405618532564,6.661338147750939e-16,0.3551192192679713,6.661338147750939e-16,0.04185357819236313,4.440892098500626e-16
Sample 89 $\theta=0.30$,0.05700620373533327,4.440892098500626e-16,0.15953883320565915,1.1102230246251565e-16,0.03638837683867013,2.220446049250313e-16,0.13576216067951785,4.440892098500626e-16,0.08127604815359468,2.220446049250313e-16
Sample 89 $\theta=0.40$,0.6116919082034336,9.992007221626409e-16,0.09427214434391318,1.1102230246251565e-16,0.4375265119693681,2.456368441983159e-15,0.016255312926387266,2.7755575615628914e-16,0.03894492446072351,1.6653345369377348e-16
Sample 89 $\theta=0.50$,0.11220442119858165,6.661338147750939e-16,0.048770720134305834,2.220446049250313e-16,0.12493026040391908,9.992007221626409e-16,0.18079076533836258,3.885780586188048e-16,0.19080501235292235,4.440892098500626e-16
Sample 89 $\theta=0.60$,0.45574212642840223,7.771561172376096e-16,0.17794831151398932,5.551115123125783e-17,0.07038997251637713,6.106226635438361e-16,0.09463007330963613,3.3306690738754696e-16,0.24650060471588114,1.5265566588595902e-15
Sample 89 $\theta=0.70$,0.16908953022962175,1.1102230246251565e-16,0.13338443039131348,5.551115123125783e-17,0.28062554036137544,1.5543122344752192e-15,0.05429169205521944,3.3306690738754696e-16,0.4418141714474768,1.887379141862766e-15
Sample 89 $\theta=0.80$,0.13641812970334533,4.440892098500626e-16,0.3786556031543474,2.0816681711721685e-16,0.04732324049389358,1.1102230246251565e-16,0.13010936089396813,3.3306690738754696e-16,0.06935144951666206,7.771561172376096e-16
Sample 89 $\theta=0.90$,0.24387731403670931,4.440892098500626e-16,0.37498557002984506,2.498001805406602e-16,0.19094962326999,1.2212453270876722e-15,0.21138709608562065,3.3306690738754696e-16,0.04540329400279519,5.551115123125783e-17
Sample 90 $\theta=0.00$,0.0053470927384938645,1.214306433183765e-17,0.2287489404331588,3.3306690738754696e-16,0.0028924508819446783,1.0928757898653885e-16,0.11483865912392888,0.0,0.02370570040824619,1.1362438767648086e-16
Sample 90 $\theta=0.10$,0.022466884363065577,1.734723475976807e-18,0.2910557205163041,3.885780586188048e-16,0.034235150422356656,2.914335439641036e-16,0.1531706662844636,6.938893903907228e-18,0.04595166127501139,2.246466901389965e-16
Sample 90 $\theta=0.20$,0.214004005517356,6.661338147750939e-16,0.2873935163915654,2.220446049250313e-16,0.43160300106156924,1.887379141862766e-15,0.1920490839742539,6.661338147750939e-16,0.6114714232912472,3.497202527569243e-15
Sample 90 $\theta=0.30$,0.07620845680219979,5.551115123125783e-16,0.3108698334737135,8.326672684688674e-17,0.0110491367930462,4.440892098500626e-16,0.06255268706139572,4.440892098500626e-16,0.11183034964243344,0.0
Sample 90 $\theta=0.40$,0.27462691783441684,5.551115123125783e-17,0.08383219506507161,2.7755575615628914e-16,0.8673660785581272,4.3298697960381105e-15,0.0983337772525874,2.7755575615628914e-16,0.7359341687998712,3.87363752185621e-15
Sample 90 $\theta=0.50$,0.47542806375342034,7.771561172376096e-16,0.03614730091124052,3.3306690738754696e-16,0.20446520189776302,1.1145598333150986e-15,0.06971560130021176,2.220446049250313e-16,0.19861192406009165,1.160530005428484e-15
Sample 90 $\theta=0.60$,0.0971256979658699,6.661338147750939e-16,0.2666657417597795,7.771561172376096e-16,0.01717965040512137,3.3306690738754696e-16,0.3890338302485772,3.885780586188048e-16,0.0883064217060554,1.1102230246251565e-16
Sample 90 $\theta=0.70$,0.07305338573162468,5.551115123125783e-16,0.3700789196117966,1.8041124150158794e-16,0.0179403987248814,4.440892098500626e-16,0.026304142291539212,4.440892098500626e-16,0.10893741722765304,1.1102230246251565e-16
Sample 90 $\theta=0.80$,0.23478142835151716,8.881784197001252e-16,0.10330945722473933,5.551115123125783e-16,0.0405198654935619,0.0,0.2345898117060642,3.3306690738754696e-16,0.10453038707790374,9.992007221626409e-16
Sample 90 $\theta=0.90$,0.3041964479895024,7.771561172376096e-16,0.14659279733317904,2.220446049250313e-16,0.16771140301100207,4.440892098500626e-16,0.062487655937171205,3.885780586188048e-16,0.29340263243106135,1.9984014443252818e-15
Sample 91 $\theta=0.00$,0.08207328230272448,4.440892098500626e-16,0.59679759912983,1.1102230246251565e-15,0.06927076834033441,2.220446049250313e-16,0.5739813462435269,3.3306690738754696e-16,0.10704150861669215,0.0
Sample 91 $\theta=0.10$,0.20452964611440094,2.220446049250313e-16,0.527945994994178,9.992007221626409e-16,0.08494206429415496,4.440892098500626e-16,0.519995363174875,3.3306690738754696e-16,0.17529573788467223,4.440892098500626e-16
Sample 91 $\theta=0.20$,0.016730012967001162,3.3306690738754696e-16,0.6753927048407065,9.992007221626409e-16,0.1064145982897522,4.440892098500626e-16,0.5169379601581221,1.1102230246251565e-16,0.14552162193504126,4.440892098500626e-16
Sample 91 $\theta=0.30$,0.03135051159346147,5.551115123125783e-16,0.26082859937103414,7.771561172376096e-16,0.02306113253205555,3.3306690738754696e-16,0.36912932034005985,3.885780586188048e-16,0.1322412796224227,1.1102230246251565e-16
Sample 91 $\theta=0.40$,0.2099786709324155,7.771561172376096e-16,0.10024670961933996,5.551115123125783e-16,0.23441054021216523,1.3322676295501878e-15,0.2757411824106192,3.3306690738754696e-16,0.2309965658243912,5.551115123125783e-16
Sample 91 $\theta=0.50$,0.06824242691223725,5.551115123125783e-16,0.11117369492885554,5.551115123125783e-16,0.020221634168936076,3.3306690738754696e-16,0.2885882717523576,3.885780586188048e-16,0.11455507580959323,0.0
Sample 91 $\theta=0.60$,0.2770294542410433,1.734723475976807e-16,0.10504067581445486,4.440892098500626e-16,0.05416800756021317,3.3306690738754696e-16,0.04735282455496942,2.220446049250313e-16,0.06917911152313305,2.220446049250313e-16
Sample 91 $\theta=0.70$,0.0645206274790554,2.220446049250313e-16,0.2980569876293723,6.661338147750939e-16,0.03503733500136619,2.220446049250313e-16,0.2126998943909335,2.7755575615628914e-16,0.09439999579397185,1.1102230246251565e-16
Sample 91 $\theta=0.80$,0.21975374897643285,6.661338147750939e-16,0.37295360295721525,2.0816681711721685e-16,0.21154985672991322,1.5543122344752192e-15,0.0007052914969732926,3.885780586188048e-16,0.22567608551517981,5.551115123125783e-16
Sample 91 $\theta=0.90$,0.20893895844706645,6.661338147750939e-16,0.41173216663059975,1.942890293094024e-16,0.17148851650945662,4.440892098500626e-16,0.057967705083659615,3.885780586188048e-16,0.1901604892690133,1.4432899320127035e-15
Sample 92 $\theta=0.00$,0.0064536594565924865,5.551115123125783e-16,0.4022967753569151,1.1102230246251565e-16,0.0030187868944988594,4.440892098500626e-16,0.2132447125774476,7.771561172376096e-16,0.027822364196289695,4.440892098500626e-16
Sample 92 $\theta=0.10$,0.001496289143461338,5.551115123125783e-16,0.4751102732638247,1.1102230246251565e-16,0.0033936543056161117,4.440892098500626e-16,0.2510502144851725,7.771561172376096e-16,0.0380817921360207,4.440892098500626e-16
Sample 92 $\theta=0.20$,0.006829751024428177,5.551115123125783e-16,0.3901575241104568,1.1102230246251565e-16,0.005440384789709651,4.440892098500626e-16,0.21896219649284687,6.661338147750939e-16,0.02721572343776124,5.551115123125783e-16
Sample 92 $\theta=0.30$,0.09654309716425324,6.661338147750939e-16,0.13020281845418413,5.551115123125783e-16,0.02136505374237907,1.1102230246251565e-16,0.30636399078020515,3.885780586188048e-16,0.053522398806645666,3.3306690738754696e-16
Sample 92 $\theta=0.40$,0.07678287768137271,5.551115123125783e-16,0.13483707242062287,2.220446049250313e-16,0.11694951138345255,2.220446049250313e-16,0.12515848489366088,3.885780586188048e-16,0.03583972736865848,7.771561172376096e-16
