ContextType,ContextLabel,TargetModel,Dose,MeanDisagreement,StdDisagreement,NumPoints,ContextRawSize
sentiment,sent_strong_positive_(p>=0.8),BERT,0.5,0.31375127598410474,0.10849759607672992,200,438
sentiment,sent_strong_positive_(p>=0.8),BERT,0.6000000000000001,0.31747785390238276,0.11989230012446594,200,438
sentiment,sent_strong_positive_(p>=0.8),BERT,0.7000000000000001,0.3194251125041046,0.1193115290355157,200,438
sentiment,sent_strong_positive_(p>=0.8),BERT,0.8,0.33937535625183957,0.12593106141916913,200,438
sentiment,sent_strong_positive_(p>=0.8),BERT,0.9,0.37552622371760663,0.13107108616462113,200,438
sentiment,sent_strong_positive_(p>=0.8),DistilBERT,0.0,0.5365288835996762,0.21202904287323837,200,438
sentiment,sent_strong_positive_(p>=0.8),DistilBERT,0.1,0.5243557951779804,0.16053928026013395,200,438
sentiment,sent_strong_positive_(p>=0.8),DistilBERT,0.2,0.5110539043358585,0.13821668603277912,200,438
sentiment,sent_strong_positive_(p>=0.8),DistilBERT,0.30000000000000004,0.4193128312715271,0.11483896717957312,200,438
sentiment,sent_strong_positive_(p>=0.8),DistilBERT,0.4,0.386291546105349,0.11380582618930404,200,438
sentiment,sent_strong_positive_(p>=0.8),DistilBERT,0.5,0.3895077691145707,0.13734930429712536,200,438
sentiment,sent_strong_positive_(p>=0.8),DistilBERT,0.6000000000000001,0.3758237535780063,0.152760881375953,200,438
sentiment,sent_strong_positive_(p>=0.8),DistilBERT,0.7000000000000001,0.39497174291434933,0.17641899229683064,200,438
sentiment,sent_strong_positive_(p>=0.8),DistilBERT,0.8,0.43746759515343003,0.1947880188882735,200,438
sentiment,sent_strong_positive_(p>=0.8),DistilBERT,0.9,0.5058285839768359,0.20353019718991577,200,438
sentiment,sent_strong_positive_(p>=0.8),RoBERTa,0.0,0.17918676874018274,0.10606537261987727,200,438
sentiment,sent_strong_positive_(p>=0.8),RoBERTa,0.1,0.19248211476020516,0.12162209047142009,200,438
sentiment,sent_strong_positive_(p>=0.8),RoBERTa,0.2,0.2082382701788447,0.12924932045279533,200,438
sentiment,sent_strong_positive_(p>=0.8),RoBERTa,0.30000000000000004,0.27329568335189836,0.08162754984686915,200,438
sentiment,sent_strong_positive_(p>=0.8),RoBERTa,0.4,0.3047082408939605,0.08421609333578074,200,438
sentiment,sent_strong_positive_(p>=0.8),RoBERTa,0.5,0.30591486962191994,0.08329382323819734,200,438
sentiment,sent_strong_positive_(p>=0.8),RoBERTa,0.6000000000000001,0.29391024717187975,0.08148622562868688,200,438
