City,PeerName,Weight,Rank,HorizonSteps,CacheHash,ModelType
graz,zurich,0.05773456712273529,7,12,abd00d5cef12,histgb
graz,bordeaux,0.05471870703612469,8,12,abd00d5cef12,histgb
graz,london,0.051433269327409444,9,12,abd00d5cef12,histgb
graz,rotterdam,0.037728775932141974,10,12,abd00d5cef12,histgb
graz,toronto,0.030652680987734358,11,12,abd00d5cef12,histgb
graz,essen,0.02837569936787894,12,12,abd00d5cef12,histgb
graz,wolfsburg,0.010909046942360869,13,12,abd00d5cef12,histgb
graz,paris,1.6592352525197818e-05,14,12,abd00d5cef12,histgb
graz,losangeles,2.217490573674045e-06,15,12,abd00d5cef12,histgb
graz,luzern,1.9934474486799904e-06,16,12,abd00d5cef12,histgb
graz,bremen,1.287268559539099e-06,17,12,abd00d5cef12,histgb
graz,bern,1.2563141496244292e-06,18,12,abd00d5cef12,histgb
graz,hamburg,3.583016839722883e-07,19,12,abd00d5cef12,histgb
graz,kassel,-5.467584553094294e-08,20,12,abd00d5cef12,histgb
graz,madrid,-8.565078859298925e-07,21,12,abd00d5cef12,histgb
graz,toulouse,-1.1655100914590349e-06,22,12,abd00d5cef12,histgb
graz,GLOBAL,-2.2505267744527847e-06,23,12,abd00d5cef12,histgb
graz,torino,-2.2958343946692362e-06,24,12,abd00d5cef12,histgb
graz,strasbourg,-2.3722195080046425e-06,25,12,abd00d5cef12,histgb
graz,marseille,-2.5954852816244804e-06,26,12,abd00d5cef12,histgb
graz,santander,-4.508950596178496e-06,27,12,abd00d5cef12,histgb
graz,manchester,-4.910894246893286e-06,28,12,abd00d5cef12,histgb
graz,taipeh,-6.905868515768161e-06,29,12,abd00d5cef12,histgb
graz,cagliari,-6.945339853118548e-06,30,12,abd00d5cef12,histgb
graz,bolton,-1.0384130073927131e-05,31,12,abd00d5cef12,histgb
hamburg,marseille,0.193764563170026,1,12,abd00d5cef12,histgb
hamburg,darmstadt,0.18794252080321996,2,12,abd00d5cef12,histgb
hamburg,zurich,0.18208388770755912,3,12,abd00d5cef12,histgb
hamburg,bremen,0.16993661324199538,4,12,abd00d5cef12,histgb
hamburg,speyer,0.16123495720817937,5,12,abd00d5cef12,histgb
hamburg,strasbourg,0.07081894008342753,6,12,abd00d5cef12,histgb
hamburg,london,0.029921038788760637,7,12,abd00d5cef12,histgb
hamburg,bern,0.0043254340738150526,8,12,abd00d5cef12,histgb
hamburg,stuttgart,5.145292986827064e-06,9,12,abd00d5cef12,histgb
hamburg,bordeaux,4.135177800354407e-06,10,12,abd00d5cef12,histgb
hamburg,torino,3.4659459462400196e-06,11,12,abd00d5cef12,histgb
hamburg,wolfsburg,2.9708412578187036e-06,12,12,abd00d5cef12,histgb
hamburg,taipeh,2.3341413520682017e-06,13,12,abd00d5cef12,histgb
hamburg,losangeles,1.5916091161528494e-06,14,12,abd00d5cef12,histgb
hamburg,kassel,1.378889640324225e-06,15,12,abd00d5cef12,histgb
hamburg,toulouse,8.015255560615495e-07,16,12,abd00d5cef12,histgb
hamburg,essen,7.824353516650577e-07,17,12,abd00d5cef12,histgb
hamburg,augsburg,4.1223405912223404e-07,18,12,abd00d5cef12,histgb
hamburg,madrid,-4.109922157182719e-08,19,12,abd00d5cef12,histgb
hamburg,luzern,-7.867035111414376e-08,20,12,abd00d5cef12,histgb
hamburg,toronto,-5.102806081776127e-07,21,12,abd00d5cef12,histgb
hamburg,rotterdam,-1.2133735225478658e-06,22,12,abd00d5cef12,histgb
hamburg,bolton,-2.1610371836623133e-06,23,12,abd00d5cef12,histgb
hamburg,paris,-2.356985506976491e-06,24,12,abd00d5cef12,histgb
hamburg,manchester,-2.4197338294755193e-06,25,12,abd00d5cef12,histgb
hamburg,santander,-3.1131051682160167e-06,26,12,abd00d5cef12,histgb
hamburg,GLOBAL,-3.4142453819131282e-06,27,12,abd00d5cef12,histgb
hamburg,cagliari,-5.899066904789389e-06,28,12,abd00d5cef12,histgb
hamburg,basel,-6.0717411876089365e-06,29,12,abd00d5cef12,histgb
hamburg,graz,-8.408977220397553e-06,30,12,abd00d5cef12,histgb
hamburg,constance,-1.5222471515095453e-05,31,12,abd00d5cef12,histgb
kassel,marseille,0.3083361577008481,1,12,abd00d5cef12,histgb
kassel,torino,0.2433712727914988,2,12,abd00d5cef12,histgb
kassel,GLOBAL,0.16873166951743593,3,12,abd00d5cef12,histgb
kassel,santander,0.11489670526926643,4,12,abd00d5cef12,histgb
kassel,toronto,0.11352285105503104,5,12,abd00d5cef12,histgb
kassel,taipeh,0.02239472369057913,6,12,abd00d5cef12,histgb
